timeAtServer,geoAltitude
358.653000116348,312.42
367.542000055313,441.96
370.44000005722,464.82
370.998000144959,472.44
371.580000162125,487.68
372.996999979019,487.68
373.509999990463,495.3
374.057000160217,495.3
374.503000020981,502.92
374.936000108719,502.92
376.331000089645,518.16
379.186000108719,541.02
380.18700003624,548.64
380.628000020981,556.26
381.101000070572,556.26
383.069000005722,571.5
383.498000144959,571.5
383.940000057221,579.12
384.368000030518,579.12
385.822000026703,586.74
386.381000041962,601.98
387.825000047684,601.98
388.328000068665,609.6
388.732000112534,609.6
389.174000024796,624.84
389.743000030518,617.22
390.65499997139,624.84
391.490000009537,640.08
392.581000089645,640.08
393.137000083923,655.32
393.614000082016,647.7
394.171000003815,655.32
395.124000072479,662.94
396.492000102997,670.56
397.041000127792,678.18
398.121000051498,685.8
399.568000078201,693.42
400.481000185013,716.28
401.552000045776,723.9
402.646000146866,731.52
402.646000146866,739.14
403.22200012207,731.52
404.888000011444,746.76
405.825000047684,754.38
406.374000072479,769.62
406.788000106812,769.62
407.34500002861,777.24
407.90499997139,777.24
409.069000005722,784.86
409.572999954224,792.48
410.899000167847,792.48
411.333000183106,800.1
411.735000133514,807.72
412.128000020981,807.72
412.641000032425,807.72
413.12700009346,807.72
413.549000024796,807.72
414.067000150681,807.72
414.572999954224,822.96
415.055000066757,815.34
415.460000038147,822.96
415.996999979019,815.34
416.53400015831,822.96
417.445000171661,822.96
417.925000190735,822.96
418.40900015831,822.96
418.835000038147,830.58
419.279000043869,830.58
419.833000183106,830.58
420.394999980927,838.2
420.819000005722,838.2
421.400000095367,845.82
422.402000188828,853.44
422.402000188828,845.82
422.857000112534,845.82
422.857000112534,853.44
423.31200003624,853.44
423.716000080109,861.06
424.662000179291,861.06
425.206000089645,868.68
426.355000019074,876.3
426.897000074387,876.3
427.452000141144,883.92
427.881999969482,883.92
428.394999980927,891.54
428.902000188828,891.54
429.358999967575,899.16
429.8140001297,891.54
430.917000055313,899.16
431.34500002861,914.4
431.749000072479,906.78
431.749000072479,914.4
432.289000034332,922.02
432.289000034332,914.4
433.31500005722,929.64
434.351999998093,937.26
435.425000190735,944.88
436.384999990463,952.5
436.81299996376,952.5
437.294000148773,960.12
438.328000068665,967.74
438.855000019074,967.74
439.338999986649,975.36
440.383000135422,990.6
441.249000072479,990.6
442.246999979019,1005.84
443.277000188828,1021.08
444.333000183106,1036.32
445.801000118256,1043.94
447.320000171661,1074.42
448.795000076294,1089.66
449.309000015259,1104.9
451.268000125885,1127.76
452.190999984741,1143.0
452.624000072479,1143.0
452.624000072479,1150.62
453.080000162125,1158.24
453.080000162125,1150.62
453.641000032425,1158.24
454.069000005722,1173.48
454.595999956131,1181.1
454.595999956131,1173.48
455.131000041962,1181.1
455.601000070572,1196.34
457.014000177384,1211.58
458.098000049591,1226.82
461.021000146866,1264.92
461.515000104904,1287.78
461.955000162125,1280.16
462.508000135422,1310.64
463.092000007629,1303.02
463.495000123978,1318.26
464.050000190735,1333.5
464.505000114441,1348.74
464.505000114441,1341.12
464.959000110626,1348.74
465.538000106812,1356.36
465.538000106812,1363.98
466.019000053406,1363.98
466.569000005722,1386.84
467.028000116348,1386.84
467.565000057221,1402.08
468.047000169754,1402.08
468.570000171661,1432.56
469.022000074387,1424.94
469.443000078201,1447.8
469.884000062943,1432.56
470.31200003624,1463.04
470.845999956131,1463.04
471.402000188828,1478.28
471.983999967575,1478.28
472.539000034332,1493.52
473.121999979019,1493.52
473.552999973297,1508.76
474.126000165939,1516.38
475.140000104904,1524.0
475.542999982834,1539.24
476.055000066757,1546.86
477.019000053406,1562.1
477.449000120163,1569.72
478.005000114441,1577.34
479.65700006485,1600.2
480.092000007629,1615.44
480.495000123978,1615.44
481.077000141144,1638.3
481.578999996185,1630.68
481.967000007629,1645.92
481.967000007629,1638.3
482.387000083923,1653.54
482.949000120163,1645.92
483.968000173569,1668.78
484.906000137329,1676.4
484.906000137329,1684.02
485.388000011444,1691.64
485.388000011444,1684.02
485.925000190735,1699.26
486.410000085831,1714.5
486.887000083923,1714.5
487.295000076294,1714.5
487.295000076294,1722.12
487.825000047684,1722.12
488.353000164032,1737.36
488.758000135422,1737.36
489.25400018692,1752.6
489.810000181198,1752.6
490.365000009537,1767.84
490.897000074387,1767.84
491.479000091553,1775.46
492.03200006485,1783.08
492.460999965668,1798.32
492.940999984741,1798.32
493.491000175476,1813.56
493.983000040054,1813.56
494.412000179291,1828.8
494.84400010109,1836.42
495.337000131607,1836.42
495.337000131607,1844.04
495.87900018692,1844.04
495.87900018692,1851.66
496.463000059128,1859.28
496.917000055313,1859.28
497.351000070572,1866.9
497.831000089645,1866.9
498.361999988556,1882.14
498.789999961853,1889.76
498.789999961853,1882.14
499.248000144959,1897.38
499.248000144959,1889.76
499.717000007629,1905.0
499.717000007629,1897.38
500.309000015259,1905.0
500.706000089645,1920.24
501.149000167847,1920.24
501.641000032425,1935.48
502.09400010109,1935.48
502.09400010109,1943.1
502.621999979019,1950.72
503.152000188828,1950.72
504.167999982834,1965.96
504.991000175476,1981.2
505.56500005722,1996.44
506.081000089645,1988.82
507.146000146866,2004.06
507.729000091553,2019.3
508.322999954224,2034.54
508.756999969482,2042.16
509.272000074387,2042.16
509.272000074387,2049.78
509.699000120163,2049.78
510.233999967575,2057.4
510.639000177384,2065.02
511.192000150681,2072.64
511.75,2072.64
513.218000173569,2087.88
